ID,MATERIAL_PO,EQUIPMENT_ID,EPC_NUMBER,MANUFACTURER
1,to413515,tab-0027,EPC-597350908,SAP
2,an194700,cap-0485,EPC-672337149,Intel
3,up741254,sex-2803,EPC-548634322,SAP
4,of167017,mew-2343,EPC-997770522,ARM
5,ah893050,fit-5458,EPC-837833410,ARM
6,id924792,nor-5289,EPC-620957705,IBM
7,we554688,ire-8255,EPC-320835511,IBM
8,OK075489,gab-7122,EPC-738068405,SAP
9,hi507445,caw-6429,EPC-287717311,SAP
10,we392689,set-5977,EPC-398318739,Cisco
11,as333710,huh-7778,EPC-611406516,Intel
12,ox226283,lop-2203,EPC-241010742,Cisco
13,in634851,axe-5509,EPC-729276274,ARM
14,on992643,pan-2498,EPC-650532589,IBM
15,ms906782,hug-3764,EPC-986816157,ARM
16,am720328,aye-1572,EPC-534768102,IBM
17,ax137003,opt-3221,EPC-011846696,Cisco
18,of084151,spa-6995,EPC-106127525,ARM
19,ad576268,all-7864,EPC-256514938,Intel
20,go141056,sap-3256,EPC-771321742,Cisco
21,ha878393,won-9860,EPC-697469187,ARM
22,be857758,ham-0076,EPC-405977349,Cisco
23,ox513085,lad-8331,EPC-375747953,ARM
24,ho126639,sue-8336,EPC-656711938,SAP
25,ah350535,wet-8300,EPC-720656021,IBM
26,Ms334425,gee-0881,EPC-202652184,SAP
27,ox856420,hey-7327,EPC-583159908,Cisco
28,so105476,rid-4028,EPC-382959992,SAP
29,Ms861802,add-1407,EPC-079689120,ARM
30,Os645478,wiz-2851,EPC-360064293,SAP
31,an849382,tub-7121,EPC-315044111,SAP
32,ay621662,apt-4791,EPC-537393747,SAP
33,an155306,hut-0807,EPC-573983561,Cisco
34,ay525847,ply-1061,EPC-532879682,Intel
35,mu603807,hue-5198,EPC-883231481,Cisco
36,of228495,fez-3886,EPC-423541355,IBM
37,if744261,fro-3317,EPC-551953238,ARM
38,is995711,bra-6929,EPC-881640409,Intel
39,cs127736,tin-1996,EPC-850385879,SAP
40,pi314167,own-3096,EPC-431022046,ARM
41,to373572,cue-2953,EPC-303579294,Intel
42,do914096,arc-3773,EPC-587386563,Cisco
43,hi726261,was-0685,EPC-978500939,IBM
44,Os350648,pro-1710,EPC-220609842,ARM
45,go711399,fog-5516,EPC-900863269,IBM
46,be843657,bid-0674,EPC-300966754,SAP
47,cs328491,nit-3312,EPC-744322436,Intel
48,be327447,sum-3886,EPC-032418436,Cisco
49,ha945322,elm-0548,EPC-640803527,ARM
50,pi222975,cup-5400,EPC-793296907,IBM
51,be632966,mom-9383,EPC-167778655,ARM
52,or465477,ups-0177,EPC-619978193,Cisco
53,ay224337,dew-1028,EPC-520449015,SAP
54,Cs907564,Mrs-9146,EPC-194073611,Cisco
55,id726355,wee-2648,EPC-319476861,Cisco
56,ah112688,rid-0133,EPC-138358870,IBM
57,he073919,hag-5544,EPC-802123578,Intel
58,Mr337225,tot-2249,EPC-080399720,SAP
59,or946704,jab-7757,EPC-249189561,IBM
60,do155855,war-2935,EPC-546089101,ARM
61,up899421,pry-6120,EPC-763785140,IBM
62,eh518998,eat-1718,EPC-496933799,SAP
63,OK392133,ire-6807,EPC-715315642,Intel
64,oh951530,now-4761,EPC-074463670,IBM
65,OK459922,sin-2940,EPC-255194050,Intel
66,if192139,pis-0359,EPC-804347813,Cisco
67,Ms700895,née-0607,EPC-582672773,SAP
68,up232141,gig-2669,EPC-514132812,Cisco
69,on664521,icy-1956,EPC-612687825,SAP
70,no846644,mob-9914,EPC-500099639,ARM
71,up724208,hem-0860,EPC-100360455,Cisco
72,by081250,ran-8013,EPC-256565408,Intel
73,Ms728884,non-5274,EPC-931185522,SAP
74,oh315500,wot-6611,EPC-144827829,Cisco
75,ma368577,gin-4749,EPC-768956679,Intel
76,ma836698,gee-9746,EPC-686254956,Cisco
77,if501669,icy-5330,EPC-938114420,Intel
78,am784880,dad-3681,EPC-029865781,IBM
79,em948027,sad-8496,EPC-864344372,Cisco
80,oh335522,tin-6899,EPC-163088910,SAP
81,am220562,F's-8789,EPC-865437035,ARM
82,an161420,arm-0316,EPC-845305667,Cisco
83,by516113,pap-1412,EPC-474927424,Intel
84,at398964,ago-4658,EPC-326519895,SAP
85,Cs223597,cob-1200,EPC-215011766,ARM
86,so288266,cry-7481,EPC-056366656,Cisco
87,we951252,ohm-5887,EPC-705005431,IBM
88,ms296935,tie-9996,EPC-201537387,Intel
89,OK069827,six-5070,EPC-190494613,ARM
90,ho266606,axe-2514,EPC-971772602,Intel
91,on641155,tip-7053,EPC-184379466,SAP
92,of466206,ion-7224,EPC-094647963,Intel
93,ay046036,car-3377,EPC-714842064,IBM
94,us890152,leg-9119,EPC-495396634,Cisco
95,is931420,bad-6544,EPC-318183351,Intel
96,no015610,the-4195,EPC-177425747,Intel
97,at143623,jug-7868,EPC-956326473,SAP
98,up426468,gee-0599,EPC-642144985,ARM
99,mu978805,gag-5910,EPC-567332601,ARM
100,ox222751,bop-1152,EPC-929630223,Cisco
101,on379299,cop-5315,EPC-035773393,SAP
102,pi051145,old-6012,EPC-557937772,SAP
103,he249171,hid-3155,EPC-966162611,SAP
104,ha695058,nod-6533,EPC-296643078,Intel
105,Es712329,C's-1552,EPC-371359596,Cisco
106,an978947,hem-4892,EPC-811318952,Cisco
107,us614007,sup-0950,EPC-880906935,ARM
108,of662753,nip-4134,EPC-881968981,SAP
109,ad589347,lot-2890,EPC-369262485,ARM
110,Os757400,cab-8427,EPC-263085516,ARM
111,id009386,lag-6019,EPC-543027026,IBM
112,ho401109,led-5210,EPC-925029391,SAP
113,oh351467,boa-6084,EPC-356054379,Intel
114,up767701,sub-4030,EPC-359458725,Cisco
115,so223938,way-6730,EPC-387992986,ARM
116,ox935999,mom-2037,EPC-439513530,ARM
117,Es913323,add-2767,EPC-603972061,Cisco
118,or097383,wag-8313,EPC-104372307,Cisco
119,as245503,son-8423,EPC-601816665,Intel
120,no474488,die-4385,EPC-627945326,Cisco
121,pi244854,dry-1850,EPC-556115727,Intel
122,eh450665,mud-3951,EPC-530114596,Intel
123,ah504318,goo-3955,EPC-286883563,Cisco
124,Mr355297,dos-9353,EPC-910341731,Intel
125,by181014,tot-8889,EPC-474249221,IBM
126,ms699953,bee-1705,EPC-067109411,SAP
127,ad419821,dog-6184,EPC-701018613,Cisco
128,no878477,hue-0644,EPC-566854822,Cisco
129,re906487,mug-5708,EPC-180560811,ARM
130,is059964,key-8401,EPC-084476093,Cisco
131,id574400,inn-5190,EPC-215022094,SAP
132,is919279,log-4058,EPC-991081685,ARM
133,go913221,rim-0007,EPC-538260354,IBM
134,he350805,own-6240,EPC-035882983,Cisco
135,oh128259,lap-7472,EPC-163283294,Intel
136,mu404385,chi-4452,EPC-172327314,ARM
137,id037429,pun-2684,EPC-490907262,Cisco
138,Cs524289,hub-3876,EPC-445267034,IBM
139,Ms792483,rob-1316,EPC-817567036,Cisco
140,up353835,bog-9541,EPC-243049403,ARM
141,or709455,big-4731,EPC-855655598,SAP
142,us894910,see-6401,EPC-783054955,Intel
143,on915502,gas-3778,EPC-761237475,ARM
144,ay225602,key-5075,EPC-884728661,ARM
145,is024802,chi-3573,EPC-121363851,Intel
146,as604618,rag-9168,EPC-112089927,ARM
147,an394967,two-8388,EPC-604174603,Intel
148,id256003,dye-5654,EPC-429680619,Intel
149,Os579446,aye-8699,EPC-978525306,ARM
150,if798464,hip-1896,EPC-918396204,Cisco
151,ah531890,oak-5854,EPC-115585632,ARM
152,it329011,lap-5092,EPC-213368196,ARM
153,us968501,lit-3261,EPC-163066276,ARM
154,by676480,guy-5921,EPC-282241448,ARM
155,Os478155,wax-4055,EPC-566212787,Cisco
156,pi776297,I's-8516,EPC-147493698,Intel
157,ay792680,ups-3291,EPC-513844482,IBM
158,ad281748,thy-7267,EPC-668640922,Cisco
159,on861591,hip-8326,EPC-944651464,Intel
160,ay348844,hah-2616,EPC-292235327,ARM
161,hi026905,hat-5665,EPC-375919587,ARM
162,do909176,I'm-7168,EPC-268983756,Cisco
163,cs580499,any-3181,EPC-911582163,IBM
164,em387274,nod-5840,EPC-979546107,Intel
165,ms152353,fit-4464,EPC-547103486,IBM
166,is435614,cot-2349,EPC-557813709,Cisco
167,ha605670,try-3745,EPC-621593900,IBM
168,Ms307320,lay-5870,EPC-518358272,Cisco
169,go607596,kin-7644,EPC-514623811,SAP
170,hi599445,ash-0008,EPC-749710470,Intel
171,ay805016,dam-1993,EPC-481911064,SAP
172,an730852,U's-8165,EPC-515553113,Intel
173,go938766,rev-8853,EPC-439238633,Intel
174,cs587375,can-3820,EPC-259157642,Intel
175,or957349,say-0344,EPC-370907304,Intel
176,Mr791856,sup-9268,EPC-800749191,IBM
177,Cs975209,gut-1373,EPC-435666322,Cisco
178,ox230207,ill-3336,EPC-419710256,Cisco
179,we799841,B's-7759,EPC-939347625,Intel
180,oh583720,ion-1953,EPC-128387313,Cisco
181,at450783,Mrs-1857,EPC-578661026,ARM
182,cs810584,err-9507,EPC-480123679,Intel
183,ah893034,ivy-6346,EPC-929392473,Cisco
184,on768319,net-6669,EPC-815225213,SAP
185,us094144,sic-4381,EPC-237221160,Intel
186,Os887408,wee-1464,EPC-866106767,Cisco
187,in985339,tap-8948,EPC-584067509,ARM
188,to744938,wag-6470,EPC-417800926,IBM
189,it668295,guy-6066,EPC-317024346,ARM
190,Es220004,ugh-1166,EPC-510373193,ARM
191,Ms154921,ham-9072,EPC-666174185,Intel
192,by755766,lap-8803,EPC-610814502,Cisco
193,us985892,ski-1005,EPC-347167864,SAP
194,is880029,fad-0972,EPC-049836977,Cisco
195,oh947734,axe-0790,EPC-095116741,ARM
196,by584308,dig-8253,EPC-204783690,ARM
197,at141634,guy-6354,EPC-837247167,Intel
198,on185827,via-4010,EPC-350714201,Cisco
199,as672903,eat-8670,EPC-042535230,SAP
200,up208521,hop-2679,EPC-983740810,ARM
201,Os524053,sun-7334,EPC-680335878,SAP
202,of245526,boy-9381,EPC-813293284,Cisco
203,do772152,jab-7951,EPC-955621202,Intel
204,by511979,gum-5256,EPC-900505284,SAP
205,hi312862,eel-2986,EPC-093449227,Cisco
206,am252999,ash-1234,EPC-422556302,Cisco
207,ha430335,you-2453,EPC-631588610,ARM
208,Cs786567,pal-2705,EPC-499967840,SAP
209,oh032800,May-22,EPC-265736612,SAP
210,pi766251,bit-6184,EPC-760797468,Cisco
211,ma301478,pup-0159,EPC-243001563,Intel
212,as931738,air-9059,EPC-292214834,Intel
213,OK655776,lob-8146,EPC-906385353,SAP
214,up606912,mys-1237,EPC-339587294,Intel
215,am212680,bud-2310,EPC-502176861,SAP
216,cs799659,dip-7139,EPC-383877266,Cisco
217,hi660399,mug-6576,EPC-825002069,Cisco
218,id567692,hit-6644,EPC-450013005,Intel
219,as191876,cry-0104,EPC-347415837,IBM
220,oh421967,dim-8197,EPC-422918054,SAP
221,as698859,ken-2939,EPC-628069769,Intel
222,by112486,ask-8438,EPC-629257723,Intel
223,ha829875,ram-6960,EPC-551889348,ARM
224,id873704,ham-9510,EPC-385727530,SAP
225,go419479,law-2655,EPC-585549128,IBM
226,mu484931,yew-9629,EPC-275646541,IBM
227,up273427,pin-6359,EPC-114681130,Intel
228,hi122324,dry-3989,EPC-526465975,IBM
229,ad267647,pop-2228,EPC-980829749,ARM
230,up937158,she-2828,EPC-898113659,ARM
231,hi009759,sin-6740,EPC-670659495,SAP
232,we949540,air-2430,EPC-099208005,IBM
233,pi815448,hum-6336,EPC-050149347,Cisco
234,eh282759,dub-1214,EPC-632340128,SAP
235,go440710,flu-6462,EPC-076694433,ARM
236,re415405,ohs-3950,EPC-095998571,ARM
237,no036627,pus-7812,EPC-738666922,Cisco
238,at388207,get-0387,EPC-143219514,SAP
239,we613355,jaw-7115,EPC-159610803,Cisco
240,an896205,tap-6000,EPC-425752815,IBM
241,if566912,sin-6803,EPC-577979238,ARM
242,as226916,nil-9439,EPC-668291232,SAP
243,ah637953,his-2388,EPC-058759665,IBM
244,id365978,pot-4759,EPC-769146521,Cisco
245,if864855,foe-2448,EPC-922845796,ARM
246,he251893,jet-1775,EPC-144649244,Intel
247,ha187686,OKs-3143,EPC-480687500,IBM
248,ma759218,air-4501,EPC-994309112,IBM
249,is349626,ode-5559,EPC-067480576,IBM
250,to794363,now-5153,EPC-372917334,Intel
251,Cs591537,aim-6892,EPC-448459679,Cisco
252,pa367691,mow-4685,EPC-081304819,SAP
253,oh687889,May-56,EPC-965728080,SAP
254,to395470,kid-8912,EPC-581791159,Intel
255,hi678104,fig-6616,EPC-782275629,SAP
256,Mr175095,win-1803,EPC-635156523,IBM
257,ax229219,pea-9991,EPC-779057156,SAP
258,eh031752,ugh-9702,EPC-062654472,Intel
259,my613753,eat-1458,EPC-819449805,Cisco
260,ah031402,mas-2433,EPC-658435009,Intel
261,if946017,ill-7425,EPC-346039819,Intel
262,be929359,ass-2232,EPC-491189137,IBM
263,go960054,his-4424,EPC-155455868,Cisco
264,pi994137,bun-5373,EPC-053645310,Cisco
265,ax802766,dew-6428,EPC-088810552,ARM
266,ah900098,paw-6373,EPC-994872392,ARM
267,Ms150186,bum-9650,EPC-169819274,IBM
268,cs341553,for-8388,EPC-360645010,IBM
269,me275457,moo-8922,EPC-165289393,Cisco
270,an364185,coy-2581,EPC-904246805,IBM
271,OK043743,rag-4561,EPC-763412038,IBM
272,ha708859,wet-8045,EPC-317640316,ARM
273,go535588,hog-4128,EPC-220857208,Cisco
274,ox857714,die-4125,EPC-576903126,SAP
275,an018596,roe-4673,EPC-066472702,Cisco
276,pa765290,toy-8043,EPC-677009306,IBM
277,on840867,try-9944,EPC-405373888,SAP
278,we825077,all-1516,EPC-137542791,SAP
279,hi829284,has-3164,EPC-715455468,Intel
280,hi377026,age-6180,EPC-063291483,Intel
281,me113049,son-2141,EPC-405206812,SAP
282,ho834769,coo-0862,EPC-976935297,SAP
283,at500929,buy-8867,EPC-009680823,IBM
284,at888136,oar-4652,EPC-992680285,IBM
285,ad346579,ado-7610,EPC-683815885,Intel
286,am449687,win-1776,EPC-706374308,Intel
287,pa596127,man-3601,EPC-317705248,SAP
288,is903714,buy-6469,EPC-261321333,Intel
289,as741457,mop-3078,EPC-808516889,IBM
290,eh652111,sip-0189,EPC-926818889,ARM
291,ax213708,sky-0097,EPC-760014981,SAP
292,at931166,oaf-8959,EPC-884432009,ARM
293,re126288,has-5766,EPC-496237959,IBM
294,Os621065,hut-8469,EPC-952960336,SAP
295,Cs372388,err-6856,EPC-508370690,Cisco
296,ho689569,hes-8421,EPC-550446491,SAP
297,he068322,tie-6605,EPC-353884440,Intel
298,so204491,rot-7600,EPC-175771112,ARM
299,Es374414,gig-7848,EPC-413717899,ARM
300,up414884,wot-1412,EPC-749922341,SAP
301,an388676,bin-8505,EPC-428737820,IBM
302,em117060,ani-0819,EPC-981490573,ARM
303,he196688,dam-2117,EPC-122175411,Cisco
304,pa521821,ate-8671,EPC-483459314,IBM
305,Ms701201,rod-8658,EPC-893993654,IBM
306,Ms955547,jig-4137,EPC-300773376,Intel
307,no585899,paw-3755,EPC-364497111,SAP
308,if521667,gel-2357,EPC-845681082,ARM
309,if452687,sin-2947,EPC-351528004,Cisco
310,he675016,par-2689,EPC-005616188,Cisco
311,at689744,put-0523,EPC-860749554,Cisco
312,Es421289,E's-6996,EPC-213838934,Cisco
313,OK499100,cup-7612,EPC-496211862,Intel
314,am027710,nip-1170,EPC-423706762,Cisco
315,mu193454,pen-3605,EPC-189266732,Intel
316,id820423,imp-9693,EPC-638714275,Intel
317,ho171618,tin-0259,EPC-969028363,ARM
318,go720406,ire-4673,EPC-722839176,ARM
319,Mr683189,lit-0021,EPC-655053219,Intel
320,us372007,bet-9539,EPC-401833218,Intel
321,ho902329,mob-3132,EPC-796236698,Cisco
322,em396264,kid-2557,EPC-451084232,ARM
323,ma753003,hah-4670,EPC-722513583,Intel
324,Es164385,urn-8726,EPC-838782088,Intel
325,do318713,big-7131,EPC-940597021,IBM
326,ax936898,hay-8206,EPC-875954796,IBM
327,pa035314,pin-7626,EPC-611293437,IBM
328,ax953772,nit-0439,EPC-584883428,IBM
329,ah641497,ail-9971,EPC-203204839,SAP
330,ad071828,chi-1540,EPC-480688817,Intel
331,it174547,bat-3698,EPC-491350681,IBM
332,pa371820,due-9456,EPC-586586581,ARM
333,OK166192,cab-6551,EPC-082503745,SAP
334,ax618709,nab-1547,EPC-679992243,IBM
335,as973952,age-2452,EPC-506960635,IBM
336,pa384604,ape-8517,EPC-591988885,IBM
337,ha691363,don-7746,EPC-053986680,IBM
338,Mr485933,dam-2645,EPC-959472694,ARM
339,we907630,eat-5848,EPC-421865914,SAP
340,pi901391,nab-0632,EPC-835702925,IBM
341,OK547070,foe-8869,EPC-988393440,Intel
342,so863579,lop-1378,EPC-833532887,IBM
343,ma698081,apt-3686,EPC-878727886,Intel
344,ay138043,ifs-6118,EPC-786190390,Cisco
345,ma841765,tar-1563,EPC-241124161,IBM
346,be007651,Jew-9354,EPC-537140313,Intel
347,my488164,wiz-9003,EPC-340532916,Intel
348,cs736102,rod-3007,EPC-496982525,Cisco
349,Os626067,yak-6622,EPC-039301628,Intel
350,go063917,goo-5720,EPC-459282464,ARM
351,ha478090,ale-3386,EPC-923031761,SAP
352,we813399,too-5896,EPC-304479878,ARM
353,to982848,fad-3940,EPC-401914966,Intel
354,Es781416,coy-0238,EPC-472770675,Cisco
355,of602678,six-3960,EPC-041718772,SAP
356,to581125,ego-7668,EPC-811779383,ARM
357,at580472,was-1536,EPC-092397575,SAP
358,eh703727,hug-3930,EPC-473934910,SAP
359,ha462772,dud-9278,EPC-584115926,ARM
360,Cs705186,gab-8321,EPC-442314549,Cisco
361,Mr342977,lap-2007,EPC-556830445,Cisco
362,ma881908,hug-1968,EPC-861743299,IBM
363,go079937,sip-6254,EPC-525811763,IBM
364,or053268,duo-5137,EPC-780498650,SAP
365,be680387,tan-5033,EPC-123191597,IBM
366,Es807199,ewe-8060,EPC-450217497,ARM
367,ax246454,apt-2658,EPC-170113409,IBM
368,he068183,jot-5977,EPC-350097618,Intel
369,pa224893,try-5488,EPC-877882286,Cisco
370,up988947,pun-6478,EPC-885025794,Cisco
371,so053729,dig-3862,EPC-750192373,IBM
372,go101135,ace-7563,EPC-181063118,SAP
373,so507786,cat-1793,EPC-172440379,IBM
374,id980954,cad-4179,EPC-551014981,ARM
375,cs938730,lip-2252,EPC-203109296,ARM
376,us487456,rot-5736,EPC-082668456,IBM
377,ad271608,gun-5420,EPC-450538664,Intel
378,re407665,met-0072,EPC-033853860,SAP
379,he404323,yam-9754,EPC-530161136,IBM
380,am407257,dot-1937,EPC-516612072,SAP
381,is446852,cur-4283,EPC-220621402,IBM
382,us343708,pad-9292,EPC-336815546,IBM
383,Os655655,ohs-3330,EPC-407296081,ARM
384,oh531179,pig-2750,EPC-234560556,Intel
385,re080968,coo-6911,EPC-866258917,Intel
386,pi172927,jut-9548,EPC-772939371,IBM
387,or571486,cab-5934,EPC-163854826,Cisco
388,ad374321,hey-8641,EPC-849585918,IBM
389,it472475,can-9416,EPC-553369653,SAP
390,an027440,nit-0185,EPC-663518185,Intel
391,on695126,cue-1349,EPC-757174305,SAP
392,is309843,dew-6769,EPC-801297250,IBM
393,my495311,try-2553,EPC-134992972,ARM
394,ox753031,fen-4140,EPC-717040167,IBM
395,Cs825285,peg-9660,EPC-188438965,Intel
396,pi039148,mum-8000,EPC-218782130,Intel
397,Os757073,hem-8992,EPC-107554353,IBM
398,mu436957,due-5737,EPC-473974070,IBM
399,ma515689,elf-5698,EPC-098642841,Cisco
400,so897527,par-7850,EPC-396069492,Intel
401,me448831,shy-4826,EPC-390487329,SAP
402,hi082554,any-5372,EPC-474553753,IBM
403,my268393,web-8258,EPC-647321553,SAP
404,ah037410,bug-2163,EPC-096064535,ARM
405,Cs828927,lug-1141,EPC-129201325,SAP
406,to850968,fen-1761,EPC-527204215,Intel
407,be921331,bib-4780,EPC-845855684,Intel
408,me943203,ebb-9175,EPC-324144640,IBM
409,do447591,oil-9100,EPC-169493572,Cisco
410,pi132885,cub-8316,EPC-513282775,Cisco
411,ha501862,qua-4170,EPC-074345398,ARM
412,Os792530,B's-0063,EPC-467044410,Intel
413,id773160,ace-7193,EPC-535513911,Intel
414,re456522,mix-0237,EPC-592842017,SAP
415,he961433,lag-9019,EPC-026473733,ARM
416,by385144,elk-2660,EPC-647628728,Cisco
417,oh794452,caw-4241,EPC-661773705,SAP
418,mu494659,rot-9956,EPC-125205766,IBM
419,ha102624,née-0168,EPC-000092321,SAP
420,OK229071,sic-5038,EPC-067218277,ARM
421,as504289,fir-1207,EPC-109222252,Intel
422,is326980,pay-1729,EPC-809495547,SAP
423,eh672376,ohm-1831,EPC-708396564,ARM
424,eh295168,wiz-0470,EPC-437761440,SAP
425,do339440,ilk-4502,EPC-402991942,ARM
426,of395721,nag-1972,EPC-774238012,Cisco
427,ax309852,ivy-0830,EPC-440679417,IBM
428,Mr348370,pup-7931,EPC-065083639,Intel
429,ho274021,aid-7447,EPC-792677364,SAP
430,em505233,buy-8224,EPC-998175606,ARM
431,OK424352,wow-4894,EPC-452819935,IBM
432,Mr167056,cot-3758,EPC-605191121,ARM
433,ay188698,war-3958,EPC-393388202,Intel
434,do761178,ink-1677,EPC-720695226,ARM
435,at844639,sob-3009,EPC-282591116,SAP
436,OK842446,fit-7751,EPC-852890640,IBM
437,we235355,her-9826,EPC-739729069,ARM
438,hi524238,gab-7061,EPC-661369025,Intel
439,oh328006,zoo-0256,EPC-487300819,ARM
440,OK365887,hag-0213,EPC-168155793,IBM
441,ad022848,dry-2995,EPC-642935441,Cisco
442,to832996,V's-1581,EPC-930946617,IBM
443,go352465,oar-2108,EPC-412125902,SAP
444,to368499,not-7903,EPC-455834886,Intel
445,go333624,bop-6863,EPC-269680857,IBM
446,if126226,saw-1552,EPC-022603616,ARM
447,ms107061,pop-0874,EPC-742082215,Intel
448,ma866941,gym-5696,EPC-956616964,Intel
449,it003847,don-4366,EPC-840979877,SAP
450,ah963989,mat-6433,EPC-874713047,ARM
451,on941744,fit-1984,EPC-923563800,Intel
452,pa211948,tee-4944,EPC-163064792,SAP
453,ox456322,qua-7345,EPC-624920445,Cisco
454,Es777652,yen-8899,EPC-208078483,ARM
455,up133882,him-6004,EPC-059666882,ARM
456,pi516261,ups-7579,EPC-099781608,IBM
457,Ms159400,ago-1757,EPC-777143789,Intel
458,to927995,see-5156,EPC-859837935,Cisco
459,be607269,cox-8982,EPC-410297579,Intel
460,no951990,led-5493,EPC-482251877,Intel
461,cs506278,imp-0685,EPC-709112218,Intel
462,or113577,pub-6883,EPC-042108009,Cisco
463,am347617,jig-7045,EPC-616020632,SAP
464,be410826,inn-9054,EPC-454658306,ARM
465,at522417,cob-4342,EPC-749736125,ARM
466,us378770,nun-3473,EPC-972207652,SAP
467,an016550,law-9989,EPC-186524780,Intel
468,mu392934,cat-3639,EPC-080923445,IBM
469,it364120,moo-5948,EPC-677892700,Intel
470,go918536,coo-0224,EPC-605482296,IBM
471,ax625270,ten-9784,EPC-515736562,SAP
472,Cs202756,pus-3125,EPC-310374166,SAP
473,Es063672,sob-8909,EPC-077641467,Cisco
474,no054035,pin-8767,EPC-721447375,ARM
475,pa336820,let-4883,EPC-343782495,Intel
476,so189633,cot-2251,EPC-320543938,SAP
477,we340335,did-7513,EPC-550992314,ARM
478,is102264,rim-4702,EPC-430880292,IBM
479,em462773,non-9164,EPC-823455180,ARM
480,to795590,eke-7814,EPC-156648849,SAP
481,am514667,Y's-0533,EPC-416967119,Cisco
482,ah833415,arc-1167,EPC-700136986,ARM
483,ah559219,rut-6795,EPC-290557489,Cisco
484,us237794,lot-4029,EPC-421632584,SAP
485,he194190,ant-2251,EPC-910203360,SAP
486,is559016,fig-9600,EPC-887377574,Cisco
487,ms260340,rub-6526,EPC-908563125,IBM
488,on675842,gab-3746,EPC-603044548,SAP
489,ox348716,nor-4893,EPC-202571867,Intel
490,on201977,sic-0887,EPC-282330966,IBM
491,hi413628,din-6128,EPC-909193622,ARM
492,no493997,act-6181,EPC-004958806,ARM
493,in213046,V's-1910,EPC-561921372,Intel
494,us719878,for-2718,EPC-240169112,Intel
495,no827409,gun-5561,EPC-700519631,Intel
496,ax695027,via-6916,EPC-626045522,Intel
497,ms442819,coy-9126,EPC-227925300,SAP
498,re602477,key-2300,EPC-497559657,Intel
499,us685420,job-3185,EPC-031407064,ARM
500,of648042,and-7660,EPC-099845419,ARM
