ID,MATERIAL_PO,EQUIPMENT_ID,EPC_NUMBER,MANUFACTURER
501,Es443388,ton-5462,EPC-877089710,ARM
502,at111847,rut-3746,EPC-170184350,SAP
503,ms936957,gym-0376,EPC-080690522,Cisco
504,pi243352,sip-0688,EPC-761947057,Intel
505,pa320011,due-3792,EPC-790502475,ARM
506,mu907367,log-9532,EPC-053359755,ARM
507,so489234,hag-6377,EPC-570998291,Cisco
508,re273198,can-6933,EPC-520847238,ARM
509,ox415860,you-4717,EPC-392331032,Intel
510,by533136,pea-5961,EPC-956235156,IBM
511,as737636,son-7585,EPC-123550079,Intel
512,ax642448,eel-7657,EPC-510942167,Intel
513,is604233,fat-2938,EPC-917136905,ARM
514,id960403,gee-0311,EPC-586949874,IBM
515,pa488353,add-7397,EPC-011789578,Cisco
516,eh428980,pat-9904,EPC-388754218,Cisco
517,OK163321,wig-4092,EPC-599802635,Cisco
518,it392298,for-9704,EPC-196505915,ARM
519,am863471,cad-3083,EPC-266773256,SAP
520,Ms021969,new-0780,EPC-122399190,Intel
521,it802147,lug-2811,EPC-157246813,Intel
522,id008934,shy-9890,EPC-405854892,Cisco
523,if358238,ale-9035,EPC-702358736,Cisco
524,pa429208,eye-7727,EPC-336502408,ARM
525,eh406213,fed-4210,EPC-818225171,ARM
526,Ms725729,ill-2030,EPC-156187955,Cisco
527,ah860212,pap-5255,EPC-776710895,SAP
528,ha175697,elk-2784,EPC-045200982,SAP
529,id127223,G's-3551,EPC-825816476,Cisco
530,mu278975,boy-7758,EPC-538851406,Intel
531,no394397,hum-2532,EPC-918055010,Intel
532,ho505881,par-0471,EPC-717519463,Cisco
533,OK681993,ego-2207,EPC-594345230,SAP
534,Es040601,yen-1609,EPC-298892701,ARM
535,us414409,hue-6490,EPC-201594456,SAP
536,in634845,dew-5120,EPC-062765474,Cisco
537,ho360647,kin-4152,EPC-226309994,IBM
538,do666518,sew-7275,EPC-319825263,IBM
539,we151107,err-8076,EPC-631676089,IBM
540,my897442,can-9645,EPC-978194195,ARM
541,we940745,men-5740,EPC-095365232,Intel
542,an493189,gab-9847,EPC-513583562,SAP
543,of524706,led-2529,EPC-805998179,IBM
544,no171453,dye-3621,EPC-381115035,Cisco
545,ah702272,ass-4812,EPC-715206465,IBM
546,eh766745,pot-2113,EPC-286798935,IBM
547,Cs709703,Mar-76,EPC-589017916,Intel
548,Cs243699,the-8447,EPC-187765627,SAP
549,OK341200,cub-8462,EPC-827118097,Cisco
550,eh136965,sag-3330,EPC-285617487,SAP
551,he626724,ate-8062,EPC-916730452,ARM
552,ox357301,mow-4552,EPC-414423233,Intel
553,eh417452,fad-9841,EPC-666179449,Intel
554,us566848,nil-2372,EPC-198540017,IBM
555,em048365,shy-6939,EPC-424371441,SAP
556,Os693064,rue-1190,EPC-037318874,ARM
557,my382250,see-9557,EPC-614906347,Cisco
558,on903566,red-2485,EPC-492545962,Cisco
559,em833059,get-5265,EPC-013702389,Intel
560,at820541,war-3689,EPC-947536235,SAP
561,we407356,hug-3768,EPC-072822181,Intel
562,so716858,wax-3722,EPC-771986579,ARM
563,OK703374,ani-8232,EPC-601296465,Cisco
564,ax260552,mud-4823,EPC-085615224,Cisco
565,cs850396,buy-5776,EPC-860365097,Cisco
566,OK887920,W's-8422,EPC-466452191,IBM
567,id407822,tin-9728,EPC-231517867,IBM
568,ha978759,wet-5742,EPC-948247763,IBM
569,we644603,flu-3475,EPC-182114089,Intel
570,of490777,nip-3353,EPC-100299048,Cisco
571,Cs924187,fit-3936,EPC-618766315,SAP
572,on493249,lot-2723,EPC-806261083,Cisco
573,re735222,fix-2877,EPC-483945839,SAP
574,as048579,wow-8441,EPC-180753416,Cisco
575,pi796000,cox-2541,EPC-982819869,Cisco
576,Es970898,sob-7804,EPC-430751528,Intel
577,OK395487,can-2389,EPC-785350460,IBM
578,re547249,son-6362,EPC-215286407,ARM
579,cs564475,fat-3559,EPC-550482578,ARM
580,up075985,gum-1198,EPC-303710210,Cisco
581,ms064364,mug-7697,EPC-756196063,ARM
582,as690419,the-1699,EPC-212395478,ARM
583,ma380142,man-3667,EPC-599988313,Cisco
584,up025422,awe-7919,EPC-538090844,ARM
585,be620176,bid-6711,EPC-080627581,Intel
586,us039052,bad-1766,EPC-391766732,Cisco
587,me726726,eke-2626,EPC-036426831,IBM
588,Os819276,gob-1042,EPC-628513058,ARM
589,Mr379332,elm-5144,EPC-781244786,SAP
590,be448874,K's-6736,EPC-860963307,ARM
591,hi893073,six-4672,EPC-674991976,Intel
592,Ms308902,dip-5088,EPC-971900760,Intel
593,OK494255,sag-9901,EPC-190793372,Intel
594,Es630398,bee-8667,EPC-053306342,Cisco
595,em194165,wag-3430,EPC-728005221,Intel
596,it934376,rev-0515,EPC-329636608,Intel
597,id659587,its-4300,EPC-362092538,Cisco
598,on899648,ink-1113,EPC-631517079,SAP
599,ad196134,gym-3470,EPC-210651972,SAP
600,Ms047997,art-1368,EPC-337295706,Cisco
601,re580616,sip-5652,EPC-939248298,Intel
602,an718637,axe-4661,EPC-749439177,IBM
603,my443069,vet-1345,EPC-530512369,IBM
604,my732364,off-7602,EPC-434700515,Intel
605,ay688697,oaf-7202,EPC-038721890,Intel
606,hi580669,beg-7603,EPC-604414133,ARM
607,hi490536,lab-1309,EPC-668655931,Cisco
608,Os567088,lax-1540,EPC-879841229,Intel
609,ms964519,ram-6818,EPC-199831869,IBM
610,hi969441,nab-6304,EPC-542175660,Cisco
611,up685239,cub-4681,EPC-215378516,Cisco
612,Ms921751,car-9886,EPC-683277090,SAP
613,do435359,lap-5049,EPC-912480344,SAP
614,Os936953,pry-6315,EPC-076823372,IBM
615,we580476,and-7160,EPC-440186164,Intel
616,or307033,irk-8585,EPC-086832035,ARM
617,cs188434,tit-3174,EPC-110308581,IBM
618,ay286269,tit-4228,EPC-922485053,ARM
619,do114161,rib-7165,EPC-446302570,IBM
620,ah903563,fun-0425,EPC-417322502,SAP
621,id838425,wag-3247,EPC-477790678,Cisco
622,Os418236,sow-8382,EPC-506098717,Cisco
623,OK463975,ebb-5437,EPC-410850167,IBM
624,ha728053,tie-3568,EPC-122792223,SAP
625,ma852466,bum-2666,EPC-560383185,SAP
626,eh255149,she-1641,EPC-128056482,Cisco
627,my499680,van-9255,EPC-303775400,IBM
628,eh186901,lay-7420,EPC-780217237,ARM
629,as486287,ilk-1955,EPC-173437227,Intel
630,or927151,sit-0198,EPC-920614537,ARM
631,up138214,irk-5978,EPC-061760272,Cisco
632,re707861,has-7547,EPC-041448238,Intel
633,pi908486,its-7534,EPC-912134814,Intel
634,Ms390247,pin-0124,EPC-917431528,ARM
635,Es969798,chi-3983,EPC-871813097,Cisco
636,cs122398,fix-7295,EPC-101898382,IBM
637,pi707202,rig-7608,EPC-893722727,Cisco
638,be222567,age-6354,EPC-910706914,Cisco
639,as363446,bib-4904,EPC-912333434,IBM
640,on317350,mix-8497,EPC-329745313,Intel
641,oh964434,lab-0018,EPC-733549197,ARM
642,pi555160,paw-3720,EPC-704367064,Intel
643,it976667,lie-7468,EPC-789702602,IBM
644,me597985,odd-7292,EPC-660175974,ARM
645,pa098255,toe-7742,EPC-319811737,IBM
646,me090418,gab-8496,EPC-552878176,IBM
647,Ms739302,ode-3388,EPC-999383522,Intel
648,it094687,fox-7962,EPC-660469613,IBM
649,up847770,nun-6413,EPC-457540162,IBM
650,cs250944,H's-2411,EPC-945519499,IBM
651,Mr111166,ask-6518,EPC-177140698,ARM
652,or845922,sox-1766,EPC-156550542,SAP
653,ad458837,hot-9442,EPC-411095316,SAP
654,up517804,age-0029,EPC-376010556,Intel
655,to385711,rye-4195,EPC-455567069,Intel
656,hi305398,OKs-5474,EPC-375756863,Cisco
657,am981384,you-9061,EPC-264368556,Cisco
658,ha440709,pop-9024,EPC-351511772,Intel
659,my042763,tee-5423,EPC-083135088,Cisco
660,id605933,dab-9507,EPC-165690117,IBM
661,ha697922,hag-7917,EPC-810913218,IBM
662,go540505,jar-3562,EPC-748066904,Intel
663,ox865627,irk-0624,EPC-474044393,Cisco
664,so937885,leg-2003,EPC-378380743,Cisco
665,ox152721,ash-7694,EPC-745268795,ARM
666,or190500,oil-4179,EPC-978315272,ARM
667,me806858,ham-7654,EPC-459408745,Cisco
668,be415015,hes-0513,EPC-466015314,Intel
669,up252239,pat-5247,EPC-848319604,Intel
670,it232862,con-0487,EPC-546162666,Cisco
671,an270417,shy-7825,EPC-761582854,Cisco
672,ha364839,dig-5595,EPC-976922867,Intel
673,my765772,jot-8972,EPC-244119838,Intel
674,ad799296,wax-0583,EPC-592174487,ARM
675,cs939909,fan-2947,EPC-555314169,SAP
676,ad071047,cue-1868,EPC-723782111,SAP
677,we774248,rim-5074,EPC-658104321,SAP
678,ah054092,yam-7425,EPC-876628222,IBM
679,oh254015,fox-9211,EPC-246969450,Cisco
680,my392521,vow-5892,EPC-464905394,Cisco
681,Mr009476,sox-1316,EPC-452738416,SAP
682,be431580,all-7751,EPC-601268161,IBM
683,on417701,gym-3493,EPC-418628030,Intel
684,do135575,rib-6066,EPC-473198245,IBM
685,ox589435,lip-1060,EPC-956298967,SAP
686,ax561609,hug-8218,EPC-621875631,Intel
687,Mr904220,one-8002,EPC-464167167,ARM
688,ma586678,cut-8506,EPC-889536155,ARM
689,Ms929880,V's-6550,EPC-233310765,SAP
690,em017928,bad-9979,EPC-482134308,Intel
691,is617335,two-1827,EPC-867130479,SAP
692,he902887,bow-8387,EPC-082066771,SAP
693,mu913446,den-1526,EPC-661077504,IBM
694,am429450,jay-9471,EPC-953923051,IBM
695,ms579061,elf-8628,EPC-696296626,IBM
696,hi276447,den-7318,EPC-542889439,IBM
697,up871356,ton-2114,EPC-662486731,IBM
698,he400261,elm-1605,EPC-133556805,Cisco
699,ho649345,gas-8833,EPC-676664024,ARM
700,em220194,ail-8301,EPC-574966681,Intel
701,re362771,bit-5955,EPC-696602902,IBM
702,do653184,but-2209,EPC-524557075,SAP
703,id255967,ran-6123,EPC-068555735,Cisco
704,do002957,lop-3372,EPC-245562522,Cisco
705,it491639,fun-0003,EPC-753049000,Cisco
706,am098435,red-8899,EPC-597135317,Cisco
707,pa218428,gay-8178,EPC-146078713,SAP
708,if514191,sob-5064,EPC-971729272,Intel
709,ho349011,cow-9812,EPC-701562028,IBM
710,me832230,won-5900,EPC-917063836,Intel
711,in930636,don-4616,EPC-746731298,SAP
712,pi097861,and-6734,EPC-107135151,ARM
713,ho564999,box-7935,EPC-378565815,ARM
714,Es309500,kit-6032,EPC-525427467,IBM
715,do583518,wag-2660,EPC-245466768,SAP
716,Mr261985,gym-1281,EPC-738348611,IBM
717,so888044,wiz-8385,EPC-742050011,Intel
718,is437428,gum-7014,EPC-961033661,ARM
719,oh462369,ads-9521,EPC-575380561,IBM
720,an041453,cow-4395,EPC-303468728,IBM
721,em844290,jug-5027,EPC-714847120,SAP
722,by259246,bus-7152,EPC-963903691,SAP
723,eh048045,sly-3608,EPC-021416967,Intel
724,us023243,tag-6790,EPC-755790509,SAP
725,do556037,hut-0613,EPC-597535228,ARM
726,hi996209,log-0658,EPC-059318566,ARM
727,pi696811,sag-4000,EPC-193909198,ARM
728,mu105558,cup-5487,EPC-174298805,IBM
729,Mr425885,jug-8629,EPC-350734194,SAP
730,if349102,rig-0892,EPC-631297935,Cisco
731,ay760741,ale-8343,EPC-673707458,IBM
732,OK952411,gel-0884,EPC-795138396,IBM
733,ah877156,sat-1360,EPC-848691606,Cisco
734,Es147796,few-2151,EPC-550199746,SAP
735,an378206,way-7096,EPC-666781947,SAP
736,we142049,B's-3465,EPC-756021253,SAP
737,us056512,all-2426,EPC-852864394,SAP
738,mu084605,moo-4260,EPC-836215611,Cisco
739,an008498,gut-3440,EPC-226994211,Cisco
740,it686939,mow-8579,EPC-960297171,ARM
741,to001281,cad-8129,EPC-558466152,ARM
742,to542895,tow-4144,EPC-377832039,ARM
743,my287236,gas-0042,EPC-001532523,ARM
744,am023242,fad-9674,EPC-501809808,IBM
745,is717792,fog-7971,EPC-189465336,IBM
746,ax824798,lie-5368,EPC-549005849,ARM
747,ay541871,sap-7904,EPC-047463515,Intel
748,ax615538,opt-3325,EPC-013438746,IBM
749,oh519686,day-9858,EPC-797598563,SAP
750,so111060,pin-2806,EPC-622131100,ARM
751,am649334,pep-2120,EPC-349635891,Intel
752,Cs077933,egg-6658,EPC-200163225,ARM
753,ma424176,arc-4395,EPC-589669303,SAP
754,eh442094,gig-6531,EPC-720335128,Cisco
755,id556851,mat-3737,EPC-790156043,IBM
756,me604809,fir-3081,EPC-496394884,IBM
757,Es700181,shy-8402,EPC-778059233,ARM
758,Es737029,rip-5039,EPC-141737383,SAP
759,mu103531,boo-3712,EPC-454769319,Intel
760,hi923174,son-7345,EPC-690222109,Intel
761,ay369823,lid-6533,EPC-048619345,ARM
762,oh675862,lab-2073,EPC-181360781,SAP
763,ma961796,the-6823,EPC-755364413,ARM
764,oh850277,odd-4008,EPC-027797983,Intel
765,up475703,dam-5925,EPC-018401685,Cisco
766,eh611034,ion-3100,EPC-425631976,IBM
767,id030552,ani-3233,EPC-359146187,SAP
768,oh637219,W's-0072,EPC-561622991,Intel
769,pa358870,age-7347,EPC-455609812,Intel
770,ad432792,H's-6839,EPC-722554392,Cisco
771,it035728,B's-6323,EPC-271032207,ARM
772,ma988280,spa-1554,EPC-870311837,ARM
773,am271295,and-6240,EPC-766641554,Cisco
774,it709797,nay-2735,EPC-299943007,Cisco
775,OK430563,mix-3336,EPC-634528480,IBM
776,re269950,has-5108,EPC-176587655,Cisco
777,me228018,cox-0662,EPC-649595807,IBM
778,up617846,awe-5572,EPC-386359013,SAP
779,it125774,fly-5941,EPC-303042625,IBM
780,hi633993,God-2983,EPC-420323576,SAP
781,re657456,tie-5737,EPC-654243097,Cisco
782,do403861,ace-8262,EPC-398430961,Intel
783,Ms438717,led-4829,EPC-790820043,Intel
784,my465086,W's-2922,EPC-696659331,ARM
785,pa965471,coo-6977,EPC-238960837,Intel
786,ad455859,W's-0424,EPC-218108309,Intel
787,ah159939,ice-7695,EPC-628141934,ARM
788,Mr653718,tin-9888,EPC-098484115,IBM
789,to548279,oil-8213,EPC-386591663,SAP
790,be620719,ray-8296,EPC-162155655,Cisco
791,me067599,rig-5837,EPC-473622216,SAP
792,ma267862,U's-1419,EPC-500407730,IBM
793,hi809425,ham-8024,EPC-591008775,SAP
794,pa893179,web-8045,EPC-394791870,SAP
795,ma647040,day-9685,EPC-956915565,IBM
796,cs397562,day-0622,EPC-140964235,Intel
797,hi719462,arc-7273,EPC-180434129,Cisco
798,or609228,jam-8727,EPC-433177014,IBM
799,be629808,vow-1923,EPC-971452528,IBM
800,Ms125476,dam-0505,EPC-791990491,Cisco
801,to104313,fix-6752,EPC-666375076,Intel
802,OK776481,keg-5416,EPC-654021898,SAP
803,do093927,rig-1514,EPC-480235683,Intel
804,eh941394,oaf-2943,EPC-243928939,ARM
805,Cs393348,far-9688,EPC-604391933,ARM
806,ax368900,dub-9626,EPC-561796383,IBM
807,he325750,T's-9376,EPC-816717091,Cisco
808,pa256229,gap-6519,EPC-592472821,Intel
809,Cs265933,bad-2953,EPC-827913094,Cisco
810,ad349965,wry-3920,EPC-549643899,Cisco
811,ox091314,mew-2598,EPC-752065726,Intel
812,as809237,wok-6757,EPC-035607240,SAP
813,on883912,his-2952,EPC-379733783,ARM
814,no668165,tea-0917,EPC-184865891,IBM
815,to096191,fur-2871,EPC-007741063,Cisco
816,me709518,due-4336,EPC-461102317,ARM
817,hi826589,mas-9629,EPC-112200928,Intel
818,or690335,hat-1128,EPC-908044178,Intel
819,id483192,ear-9735,EPC-366850174,Cisco
820,ha174872,cut-3179,EPC-873374887,Intel
821,go109191,gal-1727,EPC-657275369,Intel
822,OK313624,web-7506,EPC-270006764,Intel
823,no573263,act-3424,EPC-372682621,Intel
824,ay082771,big-8163,EPC-865329968,ARM
825,ma910970,tub-4588,EPC-323246719,SAP
826,em525602,ask-0427,EPC-117381149,Intel
827,at058683,inn-3463,EPC-712506254,Intel
828,of760526,T's-9435,EPC-990640132,IBM
829,mu982599,yew-4552,EPC-639782275,Intel
830,of473439,cur-3569,EPC-742389916,SAP
831,by358445,had-7862,EPC-221803565,Intel
832,up268959,rag-7719,EPC-060411726,SAP
833,in727900,hue-4752,EPC-382821957,SAP
834,of541762,rug-6966,EPC-302541993,ARM
835,cs024114,qua-7221,EPC-239524670,IBM
836,no639306,pea-0760,EPC-684475749,ARM
837,id676730,art-0253,EPC-777556058,IBM
838,be804641,for-8153,EPC-214691399,Cisco
839,by990658,die-3670,EPC-750969662,Intel
840,OK229008,fig-6762,EPC-796650173,Intel
841,cs662645,S's-8800,EPC-406219797,SAP
842,Os603702,ask-9146,EPC-263629419,IBM
843,us262243,jam-2321,EPC-206221082,IBM
844,do081229,wet-4913,EPC-341114463,ARM
845,us054458,our-3401,EPC-903199603,Intel
846,by398296,hoe-6795,EPC-475561127,ARM
847,my317726,lee-3091,EPC-686025983,IBM
848,an719493,coo-0750,EPC-406661578,Intel
849,ah130475,map-5176,EPC-516537121,Cisco
850,by838200,nil-9767,EPC-093314136,SAP
851,Os177260,who-4411,EPC-925497807,Intel
852,ha149371,lad-4588,EPC-108994679,SAP
853,to239709,chi-8662,EPC-452965483,IBM
854,cs274916,not-5981,EPC-108754480,Intel
855,to096730,O's-4087,EPC-911239973,SAP
856,ma542790,ram-9492,EPC-310797071,IBM
857,am487996,con-2165,EPC-277379265,Cisco
858,em743228,tip-9210,EPC-808068507,ARM
859,me795999,bus-6466,EPC-688798008,SAP
860,to134589,fen-5009,EPC-164751063,ARM
861,it004003,dip-8395,EPC-792002885,Intel
862,an960851,hue-0581,EPC-802152794,Intel
863,re098764,tin-5707,EPC-335368122,Intel
864,oh834104,add-6196,EPC-635601746,SAP
865,Mr528064,tit-4671,EPC-867259431,IBM
866,mu161387,wee-9462,EPC-080057911,SAP
867,Es026955,lye-4862,EPC-880027828,Cisco
868,he046471,eke-9755,EPC-288669611,ARM
869,of279888,sap-3294,EPC-964338610,SAP
870,Cs160312,hay-8438,EPC-011096442,ARM
871,eh446203,wit-1329,EPC-878669358,Cisco
872,at383749,cab-7980,EPC-065246795,Intel
873,pa804868,nun-3893,EPC-619448951,ARM
874,go071103,hit-6911,EPC-824794975,Cisco
875,Os238401,add-7089,EPC-495173724,ARM
876,Os023499,hug-7849,EPC-914081972,Intel
877,id399746,hen-0592,EPC-998520626,ARM
878,pi975083,but-8031,EPC-352789994,ARM
879,my584036,sit-9259,EPC-373904610,IBM
880,do173657,goo-3551,EPC-818593144,IBM
881,my397564,why-1716,EPC-753720682,IBM
882,em785833,hip-5059,EPC-321557669,Cisco
883,an840755,W's-7582,EPC-362920728,IBM
884,ma929984,she-5412,EPC-438478896,Cisco
885,ho104310,roe-6557,EPC-122414250,Cisco
886,ha229872,art-5154,EPC-064895629,IBM
887,we612140,wow-9954,EPC-231631744,SAP
888,we706663,hes-8442,EPC-061413432,Cisco
889,if029965,hip-2960,EPC-005016198,IBM
890,em874390,hem-1925,EPC-697838396,Cisco
891,eh605555,eye-2633,EPC-845257960,Intel
892,re626467,ash-6605,EPC-715651713,IBM
893,if874683,gas-1703,EPC-421265588,ARM
894,at655012,hat-8549,EPC-519700757,IBM
895,Mr985509,owe-2853,EPC-834056304,Intel
896,pa826577,arc-4431,EPC-939235106,IBM
897,my201800,out-3933,EPC-168876344,IBM
898,an456888,era-6722,EPC-274191590,Intel
899,id511438,ivy-5824,EPC-335640382,Cisco
900,ho416245,ups-7139,EPC-588135647,ARM
901,go932502,ode-5918,EPC-973817507,SAP
902,up214281,rut-6315,EPC-054129599,Intel
903,an731736,lit-4618,EPC-203313310,Cisco
904,ms577209,key-3083,EPC-399918913,Intel
905,Cs179069,mob-2141,EPC-617020640,SAP
906,up805646,ply-3301,EPC-584902193,ARM
907,ad493809,ion-6964,EPC-438247642,Cisco
908,oh251431,fog-9940,EPC-074628752,ARM
909,so535475,huh-1668,EPC-443282194,ARM
910,my247550,get-7817,EPC-177935817,Intel
911,or705285,jug-4420,EPC-092375666,Cisco
912,go192540,ask-7758,EPC-498315393,ARM
913,is307737,pop-3993,EPC-083384641,IBM
914,ah547209,wok-5461,EPC-654664779,IBM
915,pa660380,zip-6680,EPC-022991146,ARM
916,Es190440,hum-3121,EPC-733452104,IBM
917,ay899674,rat-5152,EPC-667886621,ARM
918,ma971297,tub-7063,EPC-554582103,ARM
919,me430271,gum-5578,EPC-948035122,ARM
920,ay893263,ova-7124,EPC-219697121,Intel
921,if012968,lit-3676,EPC-741167937,ARM
922,an141067,sky-6521,EPC-178953912,IBM
923,it135727,arm-0118,EPC-717796494,ARM
924,ad718048,aim-5824,EPC-013598612,ARM
925,me656557,ash-8228,EPC-199030082,Intel
926,ax901748,let-3670,EPC-638981461,Intel
927,my305279,W's-6403,EPC-577053143,Cisco
928,an276871,lit-4170,EPC-580515657,ARM
929,by548856,bee-0440,EPC-634360893,SAP
930,ha692694,mix-9151,EPC-021102355,Intel
931,Cs855711,lax-0519,EPC-613260952,Intel
932,em004993,oil-4382,EPC-258532914,SAP
933,to694036,van-3410,EPC-766563409,Intel
934,re020541,fog-4809,EPC-202294425,Cisco
935,pi852104,lay-2594,EPC-009884015,SAP
936,so963287,U's-3029,EPC-976566305,ARM
937,be996410,jam-1455,EPC-837417803,SAP
938,oh361599,nod-7412,EPC-463014287,IBM
939,cs862868,tap-2111,EPC-561294962,SAP
940,or433990,bib-2559,EPC-965645933,ARM
941,ay195982,opt-0076,EPC-931218604,ARM
942,Cs782967,rue-5499,EPC-739731853,Cisco
943,it704105,but-3382,EPC-401464951,IBM
944,be056809,pew-5881,EPC-459362734,SAP
945,oh886776,ape-0996,EPC-388403995,Intel
946,do706930,nap-2476,EPC-405384178,IBM
947,hi540702,wed-5982,EPC-495500230,Intel
948,id510851,add-9371,EPC-099966122,ARM
949,ah368175,cab-2425,EPC-028886532,Cisco
950,pa458660,sin-5373,EPC-399805273,Intel
951,ma482944,fly-8855,EPC-437900720,SAP
952,cs077123,pan-1462,EPC-749583971,IBM
953,cs476055,ice-6432,EPC-206170260,ARM
954,if032231,hit-1404,EPC-600572995,Cisco
955,am256433,mom-7584,EPC-832918341,IBM
956,he511951,sow-7115,EPC-742156557,ARM
957,mu668652,par-8995,EPC-271572109,ARM
958,OK198315,goo-1799,EPC-464482123,SAP
959,ho898281,sit-5211,EPC-551404723,SAP
960,my675349,nit-2289,EPC-157786127,ARM
961,eh083226,B's-3097,EPC-109979711,IBM
962,ad682825,ill-7093,EPC-646817955,IBM
963,on385898,car-5899,EPC-607603534,Intel
964,cs537845,hop-3104,EPC-607506073,SAP
965,ah764266,rat-4782,EPC-761148259,IBM
966,Cs545325,woe-1143,EPC-974312305,Cisco
967,no189105,spy-1127,EPC-677483350,Cisco
968,we127669,gel-3558,EPC-406146532,Cisco
969,re818008,dim-2685,EPC-102353567,Intel
970,Ms422932,nap-1156,EPC-256841635,Intel
971,Es898520,old-6943,EPC-920123091,Cisco
972,on410889,nut-5278,EPC-060909306,Intel
973,Cs953503,tin-0087,EPC-934332326,Cisco
974,no450963,sky-1693,EPC-867094230,IBM
975,Cs240561,axe-0506,EPC-424683327,SAP
976,so704262,boa-4569,EPC-334593453,Intel
977,my038213,Jew-3354,EPC-144969224,Cisco
978,do111943,bag-3331,EPC-477659509,Cisco
979,ma108746,dye-0044,EPC-703249285,SAP
980,it221766,eat-7620,EPC-679154840,Intel
981,by852239,zoo-9398,EPC-041246518,Cisco
982,or463359,not-9880,EPC-485379131,Intel
983,Mr268445,vie-9641,EPC-819483420,Intel
984,ad563227,via-1109,EPC-982935317,IBM
985,am382857,say-0553,EPC-231957456,SAP
986,ha445536,hit-6328,EPC-345874031,SAP
987,up998779,tap-1937,EPC-873779925,Intel
988,Cs672981,sup-6885,EPC-638775360,IBM
989,mu634673,van-3136,EPC-330583000,IBM
990,by645334,cox-1230,EPC-252498959,Cisco
991,ax841330,wiz-4125,EPC-811558843,ARM
992,by771132,two-5554,EPC-663583337,Intel
993,he434879,ask-5664,EPC-780389089,IBM
994,id785183,P's-5289,EPC-389317726,SAP
995,if825720,eon-3545,EPC-640421255,Intel
996,so761560,jot-9758,EPC-272648926,IBM
997,Es322644,sir-7277,EPC-961244931,Cisco
998,Os171653,lot-2664,EPC-668347723,IBM
999,cs495496,aid-6812,EPC-390884564,IBM
1000,Cs916761,toy-9682,EPC-942995699,Intel
